Zeit,Kanal A,Kanal B
(ms),(V),(V)

-9.44872568,0.01953185,0.00000000
-9.44616568,0.01648000,0.00000000
-9.44360568,0.01403851,0.00000000
-9.44104568,0.01403851,0.00000000
-9.43848568,0.01403851,0.00000000
-9.43592568,0.01098666,0.00000000
-9.43336568,0.01098666,0.00000000
-9.43080568,0.01098666,0.00000000
-9.42824568,0.01098666,0.00000000
-9.42568568,0.01098666,0.00000000
-9.42312568,0.00854518,0.00000000
-9.42056568,0.00854518,0.00000000
-9.41800568,0.00854518,0.00000000
-9.41544568,0.00854518,0.00000000
-9.41288568,0.01098666,0.00000000
-9.41032568,0.00854518,0.00000000
-9.40776568,0.00854518,0.00000000
-9.40520568,0.01098666,0.00000000
-9.40264568,0.00854518,0.00000000
-9.40008568,0.00854518,0.00000000
-9.39752568,0.00549333,0.00000000
-9.39496568,0.00549333,0.00000000
-9.39240568,0.00549333,0.00000000
-9.38984568,0.00549333,0.00000000
-9.38728568,0.00549333,0.00000000
-9.38472568,0.00854518,0.00000000
-9.38216568,0.00854518,0.00000000
-9.37960568,0.00854518,0.00000000
-9.37704568,0.00854518,0.00000000
-9.37448568,0.00854518,0.00000000
-9.37192568,0.00854518,0.00000000
-9.36936568,0.00854518,0.00000000
-9.36680568,0.01098666,0.00000000
-9.36424568,0.01098666,0.00000000
-9.36168568,0.01098666,0.00000000
-9.35912568,0.00854518,0.00000000
-9.35656568,0.00854518,0.00000000
-9.35400568,0.00854518,0.00000000
-9.35144568,0.00549333,0.00000000
-9.34888568,0.00854518,0.00000000
-9.34632568,0.01098666,0.00000000
-9.34376568,0.01098666,0.00000000
-9.34120568,0.01098666,0.00000000
-9.33864568,0.01098666,0.00000000
-9.33608568,0.01098666,0.00000000
-9.33352568,0.00854518,0.00000000
-9.33096568,0.00854518,0.00000000
-9.32840568,0.00854518,0.00000000
-9.32584568,0.00854518,0.00000000
-9.32328568,0.00854518,0.00000000
-9.32072568,0.00854518,0.00000000
-9.31816568,0.00854518,0.00000000
-9.31560568,0.01098666,0.00000000
-9.31304568,0.01098666,0.00000000
-9.31048568,0.01098666,0.00000000
-9.30792568,0.01098666,0.00000000
-9.30536568,0.01098666,0.00000000
-9.30280568,0.01098666,0.00000000
-9.30024568,0.01098666,0.00000000
-9.29768568,0.01403851,0.00000000
-9.29512568,0.01098666,0.00000000
-9.29256568,0.01098666,0.00000000
-9.29000568,0.01098666,0.00000000
-9.28744568,0.01403851,0.00000000
-9.28488568,0.01403851,0.00000000
-9.28232568,0.01403851,0.00000000
-9.27976568,0.01403851,0.00000000
-9.27720568,0.01648000,0.00000000
-9.27464568,0.01648000,0.00000000
-9.27208568,0.01648000,0.00000000
-9.26952568,0.01648000,0.00000000
-9.26696568,0.01953185,0.00000000
-9.26440568,0.02258370,0.00000000
-9.26184568,0.02502518,0.00000000
-9.25928568,0.02502518,0.00000000
-9.25672568,0.02807703,0.00000000
-9.25416568,0.02807703,0.00000000
-9.25160568,0.02807703,0.00000000
-9.24904568,0.02502518,0.00000000
-9.24648568,0.02502518,0.00061037
-9.24392568,0.02502518,0.00061037
-9.24136568,0.02258370,0.00061037
-9.23880568,0.02502518,0.00061037
-9.23624568,0.02502518,0.00061037
-9.23368568,0.02502518,0.00061037
-9.23112568,0.02502518,0.00061037
-9.22856568,0.02258370,0.00061037
-9.22600568,0.01953185,0.00061037
-9.22344568,0.01953185,0.00061037
-9.22088568,0.01648000,0.00061037
-9.21832568,0.01953185,0.00061037
-9.21576568,0.01953185,0.00061037
-9.21320568,0.02258370,0.00061037
-9.21064568,0.02258370,0.00061037
-9.20808568,0.02502518,0.00061037
-9.20552568,0.02502518,0.00061037
-9.20296568,0.02258370,0.00061037
-9.20040568,0.02258370,0.00061037
-9.19784568,0.02502518,0.00061037
-9.19528568,0.02502518,0.00061037
-9.19272568,0.02502518,0.00061037
-9.19016568,0.02502518,0.00061037
-9.18760568,0.02502518,0.00061037
-9.18504568,0.02502518,0.00061037
-9.18248568,0.02258370,0.00061037
-9.17992568,0.02258370,0.00061037
-9.17736568,0.02258370,0.00061037
-9.17480568,0.02258370,0.00061037
-9.17224568,0.02258370,0.00061037
-9.16968568,0.02258370,0.00061037
-9.16712568,0.02258370,0.00061037
-9.16456568,0.02258370,0.00061037
-9.16200568,0.02258370,0.00061037
-9.15944568,0.02258370,0.00061037
-9.15688568,0.02258370,0.00061037
-9.15432568,0.02258370,0.00061037
-9.15176568,0.01953185,0.00061037
-9.14920568,0.02258370,0.00061037
-9.14664568,0.01953185,0.00061037
-9.14408568,0.01953185,0.00061037
-9.14152568,0.02258370,0.00061037
-9.13896568,0.02258370,0.00061037
-9.13640568,0.02258370,0.00061037
-9.13384568,0.01953185,0.00061037
-9.13128568,0.02258370,0.00061037
-9.12872568,0.02502518,0.00061037
-9.12616568,0.02807703,0.00061037
-9.12360568,0.02807703,0.00061037
-9.12104568,0.02807703,0.00061037
-9.11848568,0.03051851,0.00061037
-9.11592568,0.03357036,0.00061037
-9.11336568,0.03051851,0.00061037
-9.11080568,0.03051851,0.00061037
-9.10824568,0.03051851,0.00061037
-9.10568568,0.03051851,0.00061037
-9.10312568,0.02807703,0.00061037
-9.10056568,0.02502518,0.00061037
-9.09800568,0.02258370,0.00061037
-9.09544568,0.02502518,0.00061037
-9.09288568,0.02502518,0.00061037
-9.09032568,0.02502518,0.00061037
-9.08776568,0.02502518,0.00061037
-9.08520568,0.02502518,0.00061037
-9.08264568,0.02502518,0.00000000
-9.08008568,0.02502518,0.00000000
-9.07752568,0.02502518,0.00000000
-9.07496568,0.02258370,0.00000000
-9.07240568,0.02258370,0.00000000
-9.06984568,0.02258370,0.00000000
-9.06728568,0.02258370,0.00000000
-9.06472568,0.02258370,0.00000000
-9.06216568,0.02258370,0.00000000
-9.05960568,0.02258370,0.00000000
-9.05704568,0.02258370,0.00000000
